Time,CPU usage (%),Mem usage (MB), VM usage (MB)
2017/3/30 19:51:06,16,166.4,179.6
2017/3/30 19:51:23,15,166.58,179.6
2017/3/30 19:51:40,16,166.43,179.77
2017/3/30 19:51:58,15,170.9,179.78
2017/3/30 19:52:15,16,166.73,179.57
2017/3/30 19:52:32,13,170.61,179.67
2017/3/30 19:52:48,14,167,179.76
2017/3/30 19:53:05,12,167.12,179.7
2017/3/30 19:53:23,14,166.84,179.68
2017/3/30 19:53:39,16,171.2,179.68
2017/3/30 19:53:55,16,166.88,179.66
2017/3/30 19:54:13,15,171.15,179.56
2017/3/30 19:54:31,13,171.31,179.67
2017/3/30 19:54:50,17,167.11,179.76
2017/3/30 19:55:06,16,171.43,179.76
2017/3/30 19:55:22,17,167.05,179.69
